order_item_id,order_id,product_id,quantity,subtotal
1,81,649,1,296.15
2,1139,552,1,999.06
3,186,285,5,4960.75
4,1412,469,2,918.38
5,345,289,4,968.48
6,1949,542,1,67.65
7,794,105,4,2701.92
8,1279,734,5,3747.85
9,875,590,1,872.31
10,1405,242,5,4414.9
11,774,72,4,3927.0
12,1191,645,2,35.64
13,1396,83,3,667.29
14,152,983,1,300.39
15,155,398,5,4025.35
16,1378,36,4,3895.08
17,394,400,3,770.85
18,961,287,1,512.8
19,1619,343,4,1265.0
20,294,514,2,1283.9
21,1659,333,4,2126.32
22,1291,446,2,1784.9
23,1050,417,2,659.2
24,1383,74,1,451.69
25,925,587,5,1139.5
26,740,941,1,542.76
27,1814,527,3,287.52
28,743,172,3,1235.31
29,1051,514,1,641.95
30,1632,524,5,4762.2
31,975,604,1,298.06
32,823,279,4,2667.08
33,557,872,3,746.16
34,734,983,3,901.17
35,1234,443,3,2704.08
36,1038,725,2,564.3
37,356,935,1,918.65
38,980,985,2,1051.64
39,1156,782,2,995.56
40,886,929,4,1584.24
41,36,689,4,3286.4
42,12,433,3,840.06
43,1859,325,4,2411.32
44,957,573,2,1593.32
45,539,830,3,2679.87
46,832,148,3,2931.15
47,381,454,2,1873.28
48,1826,207,1,295.94
49,1740,54,2,876.92
50,1827,391,3,1793.58
51,1272,837,1,740.55
52,103,775,1,548.85
53,1477,997,4,3763.8
54,1305,821,4,1809.48
55,17,115,1,458.75
56,1599,108,1,970.69
57,1140,652,4,2272.72
58,732,139,2,766.06
59,1956,881,5,1610.45
60,1623,923,2,1035.86
61,1688,938,5,1743.05
62,662,553,1,973.19
63,156,987,3,1405.62
64,545,345,4,1481.04
65,1483,673,5,745.9
66,1057,455,1,485.41
67,224,12,3,995.88
68,978,324,1,742.35
69,912,150,2,1734.9
70,978,908,4,3462.12
71,1981,11,4,3593.96
72,748,549,1,713.3
73,1240,919,3,2797.5
74,94,742,4,1438.56
75,1680,573,2,1593.32
76,254,457,4,253.8
77,1898,403,1,741.71
78,807,703,5,1555.3
79,1535,775,4,2195.4
80,1429,851,5,3235.45
81,709,286,3,1665.48
82,34,19,1,892.7
83,1051,179,2,1402.78
84,62,28,3,47.4
85,332,90,2,1630.28
86,139,58,4,2967.64
87,419,893,5,2837.95
88,1503,555,4,1662.28
89,368,750,1,9.2
90,308,462,2,926.72
91,1306,660,1,103.47
92,1152,811,2,677.08
93,1805,303,2,1076.34
94,849,233,5,2261.65
95,1064,388,2,1100.72
96,1620,616,1,396.83
97,922,886,1,78.94
98,358,65,4,3431.04
99,889,644,4,2381.68
100,643,247,2,669.66
101,1191,512,4,3398.0
102,110,306,3,605.67
103,998,771,4,627.84
104,1235,488,5,4043.6
105,556,443,1,901.36
106,1227,679,5,2369.5
107,1741,299,1,911.29
108,1405,840,5,1759.45
109,228,662,1,85.96
110,1174,48,2,1494.96
111,880,302,3,1210.95
112,290,909,2,1341.08
113,1408,773,2,411.56
114,665,540,5,2806.45
115,890,757,1,675.68
116,396,908,1,865.53
117,687,617,4,3865.52
118,901,116,5,1143.6
119,1026,464,1,562.64
120,1935,511,1,985.94
121,590,933,3,2512.05
122,1013,718,5,4157.5
123,1986,446,2,1784.9
124,825,234,1,188.11
125,386,443,3,2704.08
126,1460,184,4,3013.92
127,283,582,5,4085.2
128,1929,12,1,331.96
129,1909,514,5,3209.75
130,325,544,2,1337.82
131,1637,571,2,216.88
132,57,486,5,992.85
133,1216,118,5,227.15
134,705,594,4,782.76
135,1487,710,1,722.95
136,991,666,4,287.32
137,1733,797,1,986.33
138,1938,6,4,1908.8
139,1465,936,4,505.36
140,526,848,1,496.39
141,231,268,1,206.45
142,1743,866,2,429.14
143,1323,954,3,738.69
144,743,290,1,805.06
145,1049,735,3,878.16
146,967,211,5,1030.85
147,1267,363,4,280.96
148,59,86,5,4646.3
149,1154,821,3,1357.11
150,155,155,4,2473.16
151,1047,104,1,196.74
152,158,985,5,2629.1
153,1660,831,4,3065.44
154,1083,352,5,3412.05
155,1662,795,1,743.86
156,358,939,1,34.07
157,378,714,2,1118.22
158,1584,672,1,275.53
159,1613,63,2,1994.06
160,1932,74,4,1806.76
161,1188,810,2,1052.82
162,450,456,1,732.36
163,666,100,5,1806.55
164,643,416,3,1363.05
165,97,295,1,262.66
166,119,382,1,865.84
167,533,385,3,1954.02
168,892,668,1,371.93
169,677,129,4,1667.4
170,58,636,3,1722.69
171,94,539,1,40.55
172,929,367,5,117.3
173,225,363,2,140.48
174,360,497,1,676.15
175,1437,636,5,2871.15
176,124,527,5,479.2
177,1255,332,5,3322.1
178,1046,130,3,1384.83
179,699,773,4,823.12
180,1226,365,2,1340.82
181,656,187,1,566.29
182,1440,797,4,3945.32
183,6,258,5,3962.05
184,1347,881,3,966.27
